LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT allowed to serve openly in military,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Algeria Algeria,No Illegal since 1966,,,,,,
Penalty: Fine and up to 2 years imprisonment.[1][2],No,No,No,No,No,No,
Canary Islands Canary Islands,,,,,,,
(Autonomous community of Spain),Yes Legal since 1979,,,,,,
+ UN decl. sign.[1],Yes De facto unions legal since 2003[3],Yes Legal since 2005[4],Yes Legal since 2005[5],,,,
(+automatic co-parent recognition)[6],Yes Spain responsible for defence,Yes Bans all anti-gay discrimination[7],"Yes Since 2007, all documents can be amended to the recognised gender[8]",,,,
Ceuta Ceuta (Autonomous city of Spain),Yes Legal since 1979,,,,,,
+ UN decl. sign.[1],Yes De facto union since 1998[9],Yes Legal since 2005[10],Yes Legal since 2005[11],Yes Spain responsible for defence,Yes Bans all anti-gay discrimination[12],"Yes Since 2007, all documents can be amended to the recognised gender[8]",
Egypt Egypt,"Yes/No Male de jure legal, but de facto illegal since 2000.",,,,,,
Penalty: Up to 17 years imprisonment with or without hard labour and with or without fines under broadly-written morality laws,,,,,,,
Emblem-question.svg Female uncertain.[1][13],No,No,No,No,No,No,
Libya Libya,No Illegal since 1953[14],No,No,No,No,No,No
Madeira Madeira,,,,,,,
(Autonomous region of Portugal),Yes Legal since 1983,,,,,,
+ UN decl. sign.[1],Yes De facto union since 2001[15][16],Yes Legal since 2010[17],Yes Legal since 2016 (+automatic co-parent recognition)[18][19][20],Yes,Yes Bans all anti-gay discrimination.[7],Yes Since 2011. All documents can be amended to the recognised gender.[21],
Melilla Melilla (Autonomous city of Spain),Yes Legal since 1979,,,,,,
+ UN decl. sign.[1],Yes De facto union since 2008[22],Yes Legal since 2005[10],Yes Legal since 2005[11],Yes Spain responsible for defence,Yes Bans all anti-gay discrimination[12],"Yes Since 2007, all documents can be amended to the recognised gender[8]",
Morocco Morocco,,,,,,,
(Including Southern Provinces),No Illegal since 1962,,,,,,
Penalty: Up to 3 years imprisonment.[1][23],No,No,No,Emblem-question.svg,No,No,
Sahrawi Arab Democratic Republic Sahrawi Arab Democratic Republic,,,,,,,
(Excluding Southern Provinces),No Illegal since 1944 (as part of the Overseas Province of Spanish Sahara),,,,,,
Penalty: Up to 3 years imprisonment[1][24][25],No,No,No,No,No,No,
South Sudan South Sudan,No Illegal since 1899 (as Anglo-Egyptian Sudan),,,,,,
Penalty: Up to 10 years imprisonment.[1][2],No,No Constitutional ban since 2011.,No,No,No,No,
Sudan Sudan,No No Illegal since 1899 (as Anglo-Egyptian Sudan),,,,,,
Penalty: Death penalty on third offense for men and on fourth offense for women.[1],No,No,No,No,No,No,
Tunisia Tunisia,No Illegal since 1913 (as the French protectorate of Tunisia),,,,,,
Penalty: 3 years imprisonment.[1][26],No,No,No,Emblem-question.svg,No,No,
Western Africa[edit],,,,,,,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGB allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Benin Benin,Yes Legal (No laws against same-sex sexual activity have ever existed in the country).[1][27] (Age of consent discrepancy)[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg
Burkina Faso Burkina Faso,Yes Legal (No laws against same-sex sexual activity have ever existed in the country).[1],No,No Constitutional ban since 1991.,No,Emblem-question.svg,No,Emblem-question.svg
Cape Verde Cape Verde,Yes Legal since 2004,,,,,,
+ UN decl. sign.[1],No,No,No,Emblem-question.svg,Yes Bans some anti-gay discrimination.[1],Emblem-question.svg,
The Gambia Gambia,No Illegal since 1888 (as Gambia Colony and Protectorate),,,,,,
Penalty: Up to Iife imprisonment.[1][28][2],No,No,No,No,No,No,
Ghana Ghana,No Male illegal since 1860s (as Gold Coast),,,,,,
Penalty: 10 years imprisonment or more,,,,,,,
Yes Female always legal.[1][29][2],No,No,No,Emblem-question.svg,No,No,
Guinea Guinea,No Illegal since 1988,,,,,,
Penalty: 6 months to 3 years imprisonment.[1][30],No,No,No,Emblem-question.svg,No,No,
Guinea-Bissau Guinea-Bissau,Yes Legal since 1993[1],,,,,,
#NAME?,No,No,No,Emblem-question.svg,No,Emblem-question.svg,
Ivory Coast Ivory Coast,Yes Legal,,,,,,
(No laws against same-sex sexual activity have ever existed in the country). (Age of consent discrepancy)[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg,
Liberia Liberia,No Illegal since 1976,,,,,,
Penalty: 1 year imprisonment.[1][31],No,No,No,Emblem-question.svg,No,No,
Mali Mali,Yes Legal (No laws against same-sex sexual activity have ever existed in the country).[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg
Mauritania Mauritania,No No Illegal since 1983,,,,,,
Penalty: Death by stoning[1][32],No,No,No,No,No,No,
Niger Niger,Yes Legal (No laws against same-sex sexual activity have ever existed in the country). (Age of consent discrepancy)[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg
Nigeria Nigeria,No Illegal under federal law since 1901 (as Northern Nigeria Protectorate and Southern Nigeria Protectorate),,,,,,
Penalty: Up to 14 years imprisonment,,,,,,,
"No No Illegal in the states of Bauchi, Borno, Gombe, Jigawa, Kaduna, Kano, Katsina, Kebbi, Niger, Sokoto, Yobe, and Zamfara",,,,,,,
Penalty: Death penalty for men. Whipping and/or imprisonment for women.[1][33][2],No,No,No,Emblem-question.svg,No,No,
Senegal Senegal,No Illegal since 1966,,,,,,
Penalty: 1 to 5 years imprisonment.[1][34],No,No,No,Emblem-question.svg,No,No,
Sierra Leone Sierra Leone,No Male illegal since 1861 (as Sierra Leone Colony and Protectorate),,,,,,
Penalty: Up to life imprisonment (Not enforced),,,,,,,
Yes Female always legal,,,,,,,
+ UN decl. sign.[1],No,No,No,Emblem-question.svg,No,No,
Togo Togo,No Illegal since 1884 (as Togoland),,,,,,
Penalty: Fine and 3 years imprisonment.[1][2],No,No,No,Emblem-question.svg,No,No,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGB allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Cameroon Cameroon,No Illegal since 1972,,,,,,
Penalty: Fines to 5 years imprisonment.[1][2],No,No,No,Emblem-question.svg,No,No,
Central African Republic Central African Republic,Yes Legal (No laws against same-sex sexual activity have ever existed in the country).,,,,,,
+ UN decl. sign.[1],No,No Constitutional ban since 2016.[35],No,Emblem-question.svg,No,Emblem-question.svg,
Chad Chad,No Illegal since 2017,,,,,,
Penalty: 3 months to 2 years imprisonment.,No,No,No,Emblem-question.svg,No,Emblem-question.svg,
Democratic Republic of the Congo Democratic Republic of the Congo,Yes Legal (No laws against same-sex sexual activity have ever existed in the country).[1],No,No Constitutional ban since 2005.,No,Emblem-question.svg,No,Emblem-question.svg
Equatorial Guinea Equatorial Guinea,Yes Legal since 1968.[1][36],No,No,No,Emblem-question.svg,No,Emblem-question.svg
Gabon Gabon,Yes Legal (No laws against same-sex sexual activity have ever existed in the country),,,,,,
#NAME?,No,No,No,Emblem-question.svg,No,Emblem-question.svg,
Republic of the Congo Republic of the Congo,Yes Legal (No laws against same-sex sexual activity have ever existed in the country). (Age of consent discrepancy)[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg
"Saint Helena Saint Helena, Ascension and Tristan da Cunha",,,,,,,
(Overseas territory of the United Kingdom),Yes Legal since 2001,,,,,,
+ UN decl. sign.[1],Yes Legal since 2017,Yes Legal since 2017[37][38],Yes Legal since 2017,Yes Since 2000. UK responsible for defence.,Yes Constitutional ban all anti-gay on discrimination.,Yes Since 2013.,
São Tomé and Príncipe São Tomé and Príncipe,Yes Legal since 2012,,,,,,
+ UN decl. sign.[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg,
Southeast Africa[edit],,,,,,,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGB allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Burundi Burundi,No Illegal since 2009,,,,,,
Penalty: 3 months to 2 years imprisonment.[1][39],No,No Constitutional ban since 2005.,No,Emblem-question.svg,No,No,
Kenya Kenya,No Illegal since 1897 (as East Africa Protectorate),,,,,,
Penalty: up to 14 years imprisonment.[1][2],No,No Constitutional ban since 2010.[40],No,No,No,No,
Rwanda Rwanda,Yes Legal since 1980[1][41],,,,,,
#NAME?,No,No Constitutional ban since 2003.,No,Emblem-question.svg,No,Emblem-question.svg,
Tanzania Tanzania,No Illegal since 1864 (only Zanzibar),,,,,,
Illegal since 1899,,,,,,,
Penalty: Up to life imprisonment.[1][2],No,No,No,Emblem-question.svg,No,No,
Uganda Uganda,No Male illegal since 1894,,,,,,
Penalty: Up to life imprisonment[42] or vigilante execution.[42],,,,,,,
Emblem-question.svg Female uncertain.,No,No Constitutional ban since 2005.,No,No,No,No,
Horn of Africa[edit],,,,,,,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGB allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Djibouti Djibouti,Yes Legal,,,,,,
(No laws against same-sex sexual activity have ever existed in the country).[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg,
Eritrea Eritrea,No Illegal since 1957 (as part of the Federation of Ethiopia and Eritrea),,,,,,
Penalty: Up to 3 years imprisonment[1][43],No,No,No,Emblem-question.svg,No,No,
Ethiopia Ethiopia,No Illegal,,,,,,
Penalty: 10 years imprisonment or more[1],No,No,No,Emblem-question.svg,No,No,
Somalia Somalia,No No Illegal since 1962,,,,,,
Penalty: Up to death[44],No,No,No,No,No,No,
Somaliland Somaliland,No No Illegal,,,,,,
Penalty: Up to death[44],No,No,No,No,No,No,
Indian Ocean States[edit],,,,,,,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGB allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
British Indian Ocean Territory British Indian Ocean Territory,,,,,,,
(Overseas territory of the United Kingdom),Yes Legal since 2001,,,,,,
+ UN decl. sign.[1],"Yes Since 2014, UK Military Personnel only.","Yes Since 2014, UK Military Personnel only.",Emblem-question.svg,Yes Since 2000. UK responsible for defence.,Emblem-question.svg,Emblem-question.svg,
Comoros Comoros,No Illegal since 1982,,,,,,
Penalty: 5 years imprisonment & fines[1][45],No,No,No,Emblem-question.svg,No,No,
French Southern and Antarctic Lands French Southern and Antarctic Lands,,,,,,,
(Overseas territory of France),Yes Legal,,,,,,
(No laws against same-sex sexual activity have ever existed in the department).[1],Yes Civil solidarity pact since 1999,Yes Legal since 2013,Yes Legal since 2013,Yes,Yes Bans all anti-gay discrimination,"Yes Under French law since 2017, sterilization was abolished for gender transitioning.",
Madagascar Madagascar,Yes Legal,,,,,,
(No laws against same-sex sexual activity have ever existed in the country). (Age of consent discrepancy)[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg,
Mauritius Mauritius,No Male illegal since 1838 (as part of British Mauritius),,,,,,
Penalty: Up to 5 years imprisonment,,,,,,,
Yes Female always legal[46],,,,,,,
+ UN decl. sign.[1][47],No,No,No,Emblem-question.svg,Yes Bans some anti-gay discrimination[48][49],Emblem-question.svg,
Mayotte Mayotte,,,,,,,
(Overseas department of France),Yes Legal,,,,,,
(No laws against same-sex sexual activity have ever existed in the department).[1],Yes Civil solidarity pact since 1999,Yes Legal since 2013,Yes Legal since 2013,Yes,Yes Bans all anti-gay discrimination,"Yes Under French law since 2017, sterilization was abolished for gender transitioning.",
Réunion Réunion,,,,,,,
(Overseas department of France),Yes Legal since 1791[1],Yes Civil solidarity pact since 1999,Yes Legal since 2013,Yes Legal since 2013,Yes,Yes Bans all anti-gay discrimination,"Yes Under French law since 2017, sterilization was abolished for gender transitioning."
Seychelles Seychelles,Yes Legal since 2016[50],,,,,,
#NAME?,No,No,No,Emblem-question.svg,Yes Bans all anti-gay discrimination[1],Emblem-question.svg,
Southern Africa[edit],,,,,,,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGB allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Angola Angola,No De facto illegal since 1886 (as part of the Province of Angola),,,,,,
"Penalty: Fines, restrictions or penal labor (Not enforced)[1][51] (decriminalization pending)[52][53]",No,No,No,Emblem-question.svg,Yes Bans some anti-gay discrimination,No,
Botswana Botswana,No Illegal since 1885 (as part of the Bechuanaland Protectorate),,,,,,
Penalty: Fine to up to 7 years imprisonment (Not enforced)[1][2],No,No,No,Emblem-question.svg,Yes Bans some anti-gay discrimination,Yes Legal gender and name change is allowed since 2017. Judicial permission required.,
Lesotho Lesotho,Yes Male legal since 2012,,,,,,
Female always legal[1],No,No,No,Emblem-question.svg,No,Emblem-question.svg,
Malawi Malawi,No Illegal since 1891 (as part of the Shire Highlands Protectorate and the Nyasaland Districts Protectorate),,,,,,
Penalty: Up to 14 years imprisonment & whippings (Law suspended from usage since 2012)[1][54][2],No,No,No,Emblem-question.svg,No,No,
Mozambique Mozambique,Yes Legal since 2015[55][56],No,No,No,No,Yes Bans some anti-gay discrimination[1][48],Emblem-question.svg
Namibia Namibia,No Male illegal since 1920 (as part of South-West Africa; not enforced)[2],,,,,,
Yes Female always legal[1][57][58],No,No,No,Emblem-question.svg,No,No,
South Africa South Africa,Yes Male legal since 1998,,,,,,
Female always legal,,,,,,,
+ UN decl. sign.[1],Yes Limited recognition of unregistered partnerships since 1998; Same-sex marriage since 2006.,Yes Legal since 2006,Yes Legal since 2002,Yes Since 1998,Yes Bans all anti-gay discrimination,Yes Anti-discrimination laws are interpreted to include gender identity; legal gender may be changed after surgical or medical treatment.,
Swaziland Swaziland,No Male illegal since the 1880s,,,,,,
Yes Female always legal[1][2],No,No,No,Emblem-question.svg,No,No,
Zambia Zambia,No Illegal since 1911 (as part of the British South Africa Company rule of Rhodesia),,,,,,
Penalty: up to 14 years imprisonment[1][2],No,No,No,Emblem-question.svg,No,No,
Zimbabwe Zimbabwe,No Male illegal since 1891 (as part of the British South Africa Company rule of Rhodesia),,,,,,
Yes Female legal[1][2],No,No Constitutional ban since 2013,No,Emblem-question.svg,No,No,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT people allowed to serve openly in military,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Bermuda Bermuda,,,,,,,
(Overseas territory of the United Kingdom),Yes Legal since 1994 (age of consent discrepancy),,,,,,
+ UN decl. sign.[1],Yes Marriage from 2017 to 2018,,,,,,
Domestic partnerships since June 2018[14],Yes/No Legal from May 2017 until May 2018.[15],Yes Legal since 2015[16],Yes UK responsible for defense.,No Bans all anti-gay discrimination.[17],No,,
Canada Canada,Yes Legal since 1969,,,,,,
+ UN decl. sign.[1][18],Yes Domestic partnership in Nova Scotia (2001)[19];,,,,,,
Civil union in Quebec (2002)[20];,,,,,,,
Adult interdependent relationship in Alberta (2003)[21];,,,,,,,
Common-law relationship in Manitoba (2004)[22],"Yes Legal in some provinces and territories since 2003,",,,,,,
nationwide since 2005.[23],"Yes Legal in some provinces and territories since 1996,",,,,,,
nationwide since 2010.[24],Yes Since 1992[25],"Yes Bans all anti-gay discrimination, and hate speech. Pathologization or attempted treatment of sexual orientation by mental health professionals illegal in Manitoba and Ontario since 2015 (proposed in other jurisdictions).",Yes Transgender persons can change their gender identity or expression and name without completion of medical intervention and human rights protections explicitly includes gender identity or expression protections within all of Canada since 2017.[26][27][28][29],,,,
Greenland Greenland,,,,,,,
(Constituent country of the Kingdom of Denmark),Yes Legal since 1933,,,,,,
+ UN decl. sign.[1],Yes Registered partnership since 1996[30],Yes Legal since 2016,Yes Step-child adoption since 2009.[31] Joint adoption since 2016.[32],Yes Since 1978 (Kingdom of Denmark responsible for defense),Yes Bans some anti-gay discrimination.[1],No,
Mexico Mexico,Yes Legal since 1871,,,,,,
+ UN decl. sign.[1],"Yes/No Civil union in Mexico City (2007), Coahuila (2007),[33] Colima (2013),[34] Campeche (2013),[35] Jalisco (2014)[36]","Yes/No Legal in Mexico City (2010),[37] Quintana Roo (2012),[38] Coahuila (2014), Chihuahua (2015), Guerrero (2015), Nayarit (2015), Jalisco (2016), Campeche (2016), Michoacán (2016), Colima (2016), Morelos (2016), Chiapas (2017), Puebla (2017), Baja California (2017).",,,,,
All states are obliged to honour same-sex marriages performed in states where it is legal.[37],,,,,,,
(Proposed nationwide).[39][40],,,,,,,
"The Supreme Court has declared that it is unconstitutional to deny marriage licenses to same-sex couples in all states,[41] but as state constitutions were not invalidated, individual injunctions must still be obtained from the court.[42][43]",,,,,,,
"Yes/No Explicitly legal in Mexico City (2010)[44], Coahuila (2014), Michoacán (2016), Colima (2016). [45]",,,,,,,
"Nationwide, married same-sex couples may adopt.[46]",Yes,Yes Constitutional ban on all anti-gay discrimination.[47],Yes Transgender persons can change their legal gender and name in Mexico City since 2008.[48] Mexico adopted a legal protocol for gender identity and sexual orientation in 2014 based upon constitutional provisions to equally protect the rights of all citizens.[49],,,,
Flag of Saint-Pierre and Miquelon.svg Saint Pierre et Miquelon,,,,,,,
(Overseas collectivity of France),Yes Legal since 1791,,,,,,
+ UN decl. sign.[1],Yes Civil solidarity pact since 1999[50],Yes Legal since 2013[51],Yes Legal since 2013[52],Yes,Yes Bans all anti-gay discrimination.[53],"Yes Under French law since 2017, sterilization was abolished for gender transitioning.[54]",
United States United States,"Yes Legal in some states since 1962,",,,,,,
nationwide since 2003.[1],"Yes Domestic partnership in California (1999),[55] the District of Columbia (2002),[56] Maine (2004),[57] Oregon (2008),[58] Maryland (2008),[59] Wisconsin (2009)[60] and Nevada (2009)[61];",,,,,,
"Civil union in New Jersey (2007),[62] Illinois (2011),[63] Hawaii (2012),[64] and Colorado (2013)[65]","Yes Legal in some states since 2004,",,,,,,
nationwide since 2015.[66],"Yes Legal in some states since 1993,",,,,,,
nationwide since 2015.[67],"Yes ""Don't ask, don't tell"" policy was abolished by president Barack Obama in 2011, meaning that since then LGB people have been allowed to serve openly in the military.[68]",,,,,,
"Despite U.S. president Donald Trump's opposition,[69] transgender people have been allowed to serve in the military as of January 1, 2018 according to a ruling by a federal judge.[70][71]","Yes/No Federal executive order prohibiting discrimination based on sexual orientation for employees in the federal civilian workforce, along with the government employment in the District of Columbia, and the United States Postal Service, since 1998 (see Executive Order 12968 and Executive Order 13087). Pathologization or attempted treatment of sexual orientation with minors by mental health professionals illegal in some states. (Banned in California, Connecticut, Illinois, New Mexico, Vermont, New York, Nevada, New Jersey, Oregon, Rhode Island, the District of Columbia and some cities such as Miami Beach, Cincinnati, Pittsburgh and Seattle). Included in the federal hate crimes law since 2009.",,,,,,
(Sexual orientation discrimination in public and private employment),Yes/No Gender identity discrimination in healthcare insurance banned since 2012.[72][73] Included in the federal hate crimes law since 2009.,,,,,,
(Gender identity discrimination in public and private employment),,,,,,,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT people allowed to serve openly in military,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Belize Belize,Yes Legal since 2016[74],No,No,No,No,"Yes Section 16(3) of the constitution bans discrimination on the basis of sex, race, place of origin, political opinions, colour or creed[75] The ruling overturning Section 53 of the criminal code specifically stated ""sex"" as mentioned in Section 16(3) of the constitution, includes sexual orientation.[76][77]",Yes Transgender persons can change their legal name without surgeries.
No Gender change is not allowed.[78],,,,,,,
Costa Rica Costa Rica,Yes Legal since 1971,,,,,,
+ UN decl. sign.[1],Yes Unregistered cohabitation since 2014;,,,,,,
(De facto union pending)[79][80],No (Court decision pending),No(Court decision pending) LGBT individuals may adopt.[81],Has no military.,Yes Bans all anti-gay discrimination.[1],Yes Transgender persons can change their legal name without surgeries or judicial permission since 2018.[82],,
No Gender change is not allowed.,,,,,,,
El Salvador El Salvador,Yes Legal since the 1800s,,,,,,
+ UN decl. sign.[1],No,No (Constitutional ban pending) [83],No (Constitutional ban pending) [83],Yes[84],Yes Bans all anti-gay discrimination.[84],Yes Bans hate crimes based on gender identity.[85][86],
Yes Transgender persons can change their legal name. Judicial permission required.,,,,,,,
No Gender change is not allowed.[87],,,,,,,
Guatemala Guatemala,Yes Legal since 1800s,,,,,,
+ UN decl. sign.[1],No,No,No,Emblem-question.svg,"Yes The only exception to this is the Código de la Niñez y la Juventud (Code on Childhood and Youth), approved in 1997, which protects children and youth from experiencing discrimination based on a variety of factors, including their own sexual orientation and that of their parents.",Yes Transgender persons can change their legal name without surgeries. Judicial permission required.[88],
No Gender change is not allowed.,,,,,,,
Honduras Honduras,Yes Legal since 1899,,,,,,
+ UN decl. sign.[1],No,No Constitutional ban since 2005.[89][90],No Constitutional ban since 2005.[89][90],No,"Yes Bans all anti-gay discrimination, including hate speech.[91]",Yes Bans hate crimes based on gender identity.[1],
Emblem-question.svg Unknown if gender change is legal.,,,,,,,
Nicaragua Nicaragua,Yes Legal since 2008,,,,,,
+ UN decl. sign.[1],No,No,No,Emblem-question.svg,Yes Bans some anti-gay discrimination.[1],No,
Panama Panama,Yes Legal since 2008,,,,,,
+ UN decl. sign.[1],No(Court decision pending),No(Court decision pending),No,Has no military.,Yes Bans some anti-gay discrimination.[92],,
(Anti-discrimination law proposed).[93],,,,,,,
"Yes Transgender persons can change their legal gender and name after completion of medical intervention since 2006.[94] Legal name change, without surgeries, is allowed since 2016.[95]",,,,,,,
Caribbean[edit],,,,,,,
LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT people allowed to serve openly in military,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Anguilla Anguilla,,,,,,,
(Overseas territory of the United Kingdom),Yes Legal since 2001,,,,,,
+ UN decl. sign.[1],No,No,No,Yes UK responsible for defense.,No,No,
Antigua and Barbuda Antigua and Barbuda,No Illegal,,,,,,
Penalty: 15-year prison sentence (not enforced).[1],No,No,No,No,No,No,
Aruba Aruba,,,,,,,
(Constituent country of the Kingdom of the Netherlands),Yes Legal,,,,,,
+ UN decl. sign.[1],Yes Civil Unions since 2016[96],No (Proposed)/Yes[citation needed],,,,,
Same-sex marriages performed in the Netherlands recognized.[97],No (Proposed),Yes The Netherlands responsible for defense.,No,No,,,
The Bahamas Bahamas,Yes Legal since 1991 (age of consent discrepancy),,,,,,
+ UN decl. sign.[1],No,No,No,Yes[1],No,No,
Barbados Barbados,No Illegal,,,,,,
Penalty: Life imprisonment (not enforced) (Proposed) .[1],No,No,No,No,No,No,
British Virgin Islands British Virgin Islands,,,,,,,
(Overseas territory of the United Kingdom),Yes Legal since 2001,,,,,,
+ UN decl. sign.[1],No,No,No,Yes UK responsible for defense.,Yes Constitutional ban on all anti-gay discrimination.[98],No,
Caribbean Netherlands Caribbean Netherlands,,,,,,,
"(Bonaire, Sint Eustatius, Saba; Special municipalities of the Netherlands)",Yes Legal,,,,,,
+ UN decl. sign.[1],Yes Registered partnership since 2012[99],Yes Legal since 2012[100],Yes[101],Yes The Netherlands responsible for defense.,Yes Bans all anti-gay discrimination.[102],Yes[103],
Cayman Islands Cayman Islands,,,,,,,
(Overseas territory of the United Kingdom),Yes Legal since 2001 (age of consent discrepancy)[1],,,,,,
#NAME?,No,"No/Yes Same-sex marriage not expressly prohibited under Cayman Islands law, but Constitutional right of a man and a woman to marry a person of the opposite sex since 2009.[104] Same-sex marriages performed in a foreign country are now recognized for immigration purposes. [105]",No,Yes UK responsible for defense.,No,No,
Cuba Cuba,Yes Legal since 1979,,,,,,
+ UN decl. sign.[1],No (Proposed),No Constitutional ban since 1976.,No,Yes[1],Yes Bans some anti-gay discrimination.[106][107],Yes[108],
Curaçao Curaçao,,,,,,,
(Constituent country of the Kingdom of the Netherlands),Yes Legal,,,,,,
+ UN decl. sign.[1],No (Proposed)[citation needed],No (Proposed)/Yes Same-sex marriages performed in the Netherlands recognized.[97],No (Proposed),Yes The Netherlands responsible for defense.,No,No,
Dominica Dominica,No Illegal,,,,,,
Penalty: 10-year prison sentence or incarceration in a psychiatric institution (Not enforced),,,,,,,
+ UN decl. sign.[1],No,No,No,No,No,No,
Dominican Republic Dominican Republic,Yes Legal since 1822,,,,,,
+ UN decl. sign.[1],No,No Constitutional ban since 2010.[109],No,No[110],No,No,
Grenada Grenada,No Male illegal,,,,,,
Penalty: 10-year prison sentence,,,,,,,
Yes Female always legal.[1],No,No,No,Has no military.,No,No,
Guadeloupe Guadeloupe,,,,,,,
(Overseas department of France),Yes Legal since 1791,,,,,,
+ UN decl. sign.[1],Yes Civil solidarity pact since 1999[50],Yes Legal since 2013[51],Yes Legal since 2013[52],Yes,Yes Bans all anti-gay discrimination.[53],"Yes Under French law since 2017, sterilization was abolished for gender transitioning.[54]",
United States Guantanamo Bay Naval Base,,,,,,,
(Extraterritorial jurisdiction of the United States),Yes Legal[citation needed],Yes,Yes Legal,Yes Legal,Yes USA responsible for defense.[68][71],Yes[111],Yes[112]
Haiti Haiti,Yes Legal since 1986[1],No,No,No,Has no military.,No,No
Jamaica Jamaica,No Male illegal,,,,,,
Penalty: 10 years hard labor (not enforced),,,,,,,
Yes Female always legal.[1],No,No (Constitutional ban since 1962),No,No,No,No,
Martinique Martinique,,,,,,,
(Overseas department of France),Yes Legal since 1791,,,,,,
+ UN decl. sign.[1],Yes Civil solidarity pact since 1999[50],Yes Legal since 2013[51],Yes Legal since 2013[52],Yes,Yes Bans all anti-gay discrimination.[53],"Yes Under French law since 2017, sterilization was abolished for gender transitioning.[54]",
Montserrat Montserrat,,,,,,,
(Overseas territory of the United Kingdom),Yes Legal since 2001,,,,,,
